cname,title,exp,edu,loc
LINE+,[LINE PLUS] Data Scientist,경력3년↑,학력무관,경기 성남시 분당구
LINE+,[LINE PLUS] Messaging Data Engineer,경력1년↑,학력무관,경기 성남시 분당구
(주)바텍,[바텍 네트웍스] 플랫폼사업팀 개발파트 백엔드/인프라 개발자,신입·경력,대졸↑,경기 화성시
(주)바텍,[바텍 네트웍스] 플랫폼사업팀 개발파트 프론트엔드 개발자,경력 4~10년,대졸↑,경기 화성시
(주)연합시스템,"(직장어린이집有,파견/야근X)-DBA,FA,Network,Front/Back-end,SE",경력무관,학력무관,경기 김포시
(주)헤리트,에너지서비스 AI/빅데이터 개발자 모집 (병역특례 가능),경력무관,대졸↑,경기 성남시 분당구
(주)헤리트,자바(Java) 서버 개발자 모집 - 에너지IoT솔루션 (병역특례가능),경력무관,학력무관,경기 성남시 분당구
오브젠주식회사,일반모집 및 병역특례 전문연구요원 모집,신입,대졸↑,서울 영등포구
(주)모비젠,2020년 하반기 (주)모비젠 부문별 경력 모집 공고,경력무관,학력무관,서울 송파구
(주)휴머스온,AI 알고리즘 고도화 개발자 모집,신입·경력,대졸↑,서울 강남구
(주)카카오게임즈,채널링 담당자 영입,경력5년↑,학력무관,경기 성남시 분당구
㈜이지팜,[김천 혁신] 공공기관 시스템 유지보수 (빅데이터 분야),경력무관,학력무관,경북 김천시
(주)레드우드케이,2021년 레드우드케이 S/W 엔지니어 채용 공고,신입·경력,학력무관,서울 광진구
(주)모비핀테크놀러지,SW개발자 모집(경력무관),경력무관,초대졸↑,대구 북구
(주)모비핀테크놀러지,SW개발자 모집 경력무관 모집합니다,경력무관,초대졸↑,서울 성동구
(주)큐브릭디지털,빅데이터 텍스트 처리 개발자 모집,신입·경력,대졸↑,서울 동작구
(주)이타즈,[AI연구소/정규직] AI 연구원 채용 공고,경력무관,초대졸↑,서울 성동구
이데아텍(주),플랫폼 R&D 및 서비스 개발 엔지니어 모집 (Back-End/Front-End),경력무관,학력무관,서울 서초구
맨파워스카우트,대기업 loT 전문가,경력 3~12년,석사↑,서울 중구
(주)글로벌트러스트네트웍스코리아,"[일본 근무] IT 엔지니어 및 CS, 판매직 모집",경력무관,초대졸↑,일본 일본
(주)피플케어코리아,[ 4대 대기업 ] 데이터 사이언티스트 경력직 채용,경력 3~13년,대졸↑,서울 강남구
콘센트릭스서비스코리아(유),"[Concentrix] 디지털마케팅 운영, Data Analyst, 웹개발 경력직",경력2년↑,대졸↑,서울 강남구
(주)메디치소프트,"R&D 파이썬 개발 신입, 경력 채용 공고 - 정규직",신입·경력,초대졸↑,서울 마포구
비코어(주),빅데이터 엔지니어 채용 공고(경력),경력무관,초대졸↑,서울 강남구
(주)좋은정보기술,인공지능(AI) 및 데이터 전문가(분석/설계/구축/개발) 모집,경력3년↑,초대졸↑,전북 전주시 덕진구
(주)마스팜,시설원예 클라우드 기반 복합제어기 솔루션 AIoT 구축 엔지니어,신입·경력,대졸↑,전북 전주시 덕진구
미래융합교육학원,"인공지능, 빅데이터 분야 (자바,파이썬) 교강사 모집",경력3년↑,초대졸↑,대전 서구
(주)스마일게이트스토브,스마일게이트스토브 개발직군 경력 채용,경력3년↑,학력무관,경기 성남시 분당구
(주)서원정보,2021 상반기 빅데이터/Oracle/클라우드外 경력 채용,경력5년↑,학력무관,서울 중구
(주)씨이랩,"머신러닝, 인공지능(AI), 클라우드 연구개발 경력직 채용",경력 3~10년,대졸↑,서울 강남구
(주)티몬,[티몬] 빅데이터 WEB 개발자,경력5년↑,대졸↑,서울 강남구
(주)잡뉴스솔로몬서치,"Data 분석 엔지니어, Data 기획 (대리-차장급), 분당",경력5년↑,대졸↑,서울 강남구
HR컨설팅(주),(유명게임사) 데이터 엔지니어링 담당 (2년-8년),경력 2~7년,학력무관,서울 강남구
(주)헬로서치,[대기업 IT사] 빅데이터 엔지니어 채용,경력5년↑,대졸↑,서울 강남구
㈜피플스카우트,[유명 스타트업]데이터 엔지니어 경력자,경력3년↑,초대졸↑,서울 강동구
㈜피플스카우트,[최고대우]데이터 엔지니어 경력자,경력3년↑,초대졸↑,서울 강동구
㈜피플스카우트,[유명 의류 E-Commerce 플랫폼]데이터 엔지니어 경력자,경력3년↑,초대졸↑,서울 강동구
(주)인큐브시스템,코스피상장사] 데이터 분석(전문계약직) 경력직 채용,경력5년↑,대졸↑,서울 금천구
(주)스카우트파트너스,[이커머스 기업]데이터엔지니어,경력3년↑,대졸↑,서울 강남구
